"filename", "language", "JSON", "JavaScript", "Markdown", "SCSS", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_nucleo-icons.scss", "SCSS", 0, 0, 0, 435, 0, 0, 0, 29, 103, 567
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_nucleo-outline.scss", "SCSS", 0, 0, 0, 435, 0, 0, 0, 29, 103, 567
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_pagination.scss", "SCSS", 0, 0, 0, 295, 0, 0, 0, 1, 24, 320
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_preloaders.scss", "SCSS", 0, 0, 0, 270, 0, 0, 0, 1, 11, 282
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_progress-bars.scss", "SCSS", 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_responsive.scss", "SCSS", 0, 0, 0, 902, 0, 0, 0, 6, 73, 981
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_sections-extend.scss", "SCSS", 0, 0, 0, 94, 0, 0, 0, 1, 4, 99
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_sections.scss", "SCSS", 0, 0, 0, 107, 0, 0, 0, 0, 6, 113
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_sidebar.scss", "SCSS", 0, 0, 0, 184, 0, 0, 0, 0, 24, 208
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_sliders.scss", "SCSS", 0, 0, 0, 140, 0, 0, 0, 0, 21, 161
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_social-buttons.scss", "SCSS", 0, 0, 0, 99, 0, 0, 0, 0, 32, 131
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_switch.scss", "SCSS", 0, 0, 0, 132, 0, 0, 0, 8, 6, 146
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_tables.scss", "SCSS", 0, 0, 0, 137, 0, 0, 0, 2, 12, 151
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_tabs-navs.scss", "SCSS", 0, 0, 0, 197, 0, 0, 0, 4, 12, 213
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_tags.scss", "SCSS", 0, 0, 0, 95, 0, 0, 0, 4, 15, 114
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_tooltips-and-popovers.scss", "SCSS", 0, 0, 0, 238, 0, 0, 0, 6, 23, 267
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_typography.scss", "SCSS", 0, 0, 0, 125, 0, 0, 0, 2, 8, 135
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\_variables.scss", "SCSS", 0, 0, 0, 219, 0, 0, 0, 9, 92, 320
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-background.scss", "SCSS", 0, 0, 0, 53, 0, 0, 0, 0, 10, 63
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-blog.scss", "SCSS", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-contact.scss", "SCSS", 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-extend.scss", "SCSS", 0, 0, 0, 102, 0, 0, 0, 0, 23, 125
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-fashion.scss", "SCSS", 0, 0, 0, 69, 0, 0, 0, 0, 12, 81
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-form-horizontal.scss", "SCSS", 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-image.scss", "SCSS", 0, 0, 0, 84, 0, 0, 0, 0, 7, 91
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-no-shadow.scss", "SCSS", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\programming\Project_1\Front-end\src\assets\scss\paper-kit\cards\_card-plain.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
